;;Model M1;;;Model M3;;;;DP;;DSS-1TH;;;FMT;;;DSS-4TH;;DSS+DP;
prob2_050_040_060_025_035_09;3485082;0.04;2885;0;0.07;3021;563;0;27.50;0;0.32;0;;0.04;0;0;0.34;0;0.65;0
prob2_050_040_060_025_035_10;3789648;0.01;651;0;0.02;693;462;0;29.45;0;0.38;0;;0.01;0;0;0.47;0;0.79;0
prob2_050_040_060_035_045_01;2424303;0.01;741;0;0.02;781;397;0;23.63;0;0.22;0;;0.01;0;0;0.24;0;0.44;0
prob2_050_040_060_035_045_02;2321179;0.02;1585;0;0.04;1429;384;0;19.91;0;0.35;0;;0.02;0;0;0.36;0;0.66;0
prob2_050_040_060_035_045_03;2785118;0.01;1001;0;0.03;1051;511;0;24.64;0;0.33;0;;0.01;0;0;0.35;0;0.72;0
prob2_050_040_060_035_045_04;2976206;0.08;4889;0;0.11;5083;571;0;27.70;0;0.47;0;;0.07;0;0;0.52;0;0.89;0
prob2_050_040_060_035_045_05;2964223;0.07;4795;0;0.11;5185;484;0;27.02;0;0.43;0;;0.07;0;0;0.46;0;0.89;0
prob2_050_040_060_035_045_06;2407998;0.02;1507;0;0.04;1315;381;0;21.41;0;0.40;0;;0.02;0;0;0.46;0;0.82;0
prob2_050_040_060_035_045_07;2499829;0.01;939;0;0.03;977;459;0;24.65;0;0.36;0;;0.01;0;0;0.37;0;0.73;0
prob2_050_040_060_035_045_08;2915020;0.00;333;0;0.01;337;374;0;25.56;0;0.19;0;;0.00;0;0;0.25;0;0.40;0
prob2_050_040_060_035_045_09;2055848;0.01;627;0;0.02;633;392;0;19.56;0;0.23;0;;0.01;0;0;0.28;0;0.50;0
prob2_050_040_060_035_045_10;3058279;0.01;431;0;0.01;265;364;0;25.86;0;0.31;0;;0.01;0;0;0.31;0;0.67;0
prob2_050_090_110_005_015_01;9080083;0.05;2025;0;0.11;2189;583;0;87.90;0;0.87;0;;0.05;0;0;0.93;0;1.82;0
prob2_050_090_110_005_015_02;8921715;0.01;331;0;0.01;337;421;0;79.95;0;0.71;0;;0.01;0;0;0.80;0;1.49;0
prob2_050_090_110_005_015_03;9952548;0.00;101;0;0.00;101;292;0;95.79;0;0.38;0;;0.00;0;0;0.44;0;0.80;0
prob2_050_090_110_005_015_04;10103311;0.00;161;0;0.01;163;366;0;87.80;0;0.60;0;;0.00;0;0;0.67;0;1.26;0
prob2_050_090_110_005_015_05;10966761;0.00;101;0;0.00;105;309;0;95.02;0;0.49;0;;0.00;0;0;0.55;0;1.01;0
prob2_050_090_110_005_015_06;9827410;0.00;101;0;0.00;101;307;0;91.94;0;0.51;0;;0.00;0;0;0.60;0;1.07;0
prob2_050_090_110_005_015_07;13315860;0.00;101;0;0.00;101;333;0;113.08;0;0.45;0;;0.00;0;0;0.51;0;0.92;0
prob2_050_090_110_005_015_08;10765148;0.01;377;0;0.02;395;395;0;94.77;0;0.71;0;;0.01;0;0;0.80;0;1.49;0
prob2_050_090_110_005_015_09;11190739;0.00;113;0;0.00;117;331;0;108.01;0;0.71;0;;0.00;0;0;0.86;0;1.42;0
prob2_050_090_110_005_015_10;9674505;0.01;239;0;0.01;193;350;0;89.33;0;0.55;0;;0.01;0;0;0.64;0;1.15;0
prob2_050_090_110_015_025_01;9476074;0.03;1479;0;0.04;1657;592;0;109.10;0;0.90;0;;0.03;0;0;1.07;0;1.84;0
prob2_050_090_110_015_025_02;8636601;0.00;101;0;0.00;101;286;0;92.47;0;0.43;0;;0.00;0;0;0.58;0;0.91;0
prob2_050_090_110_015_025_03;9531849;0.23;8717;0;0.55;9195;950;0;102.72;0;1.02;0;;0.24;0;0;1.09;0;2.08;0
prob2_050_090_110_015_025_04;7715590;0.01;311;0;0.01;137;354;0;88.79;0;0.53;0;;0.01;0;0;0.64;0;1.12;0
prob2_050_090_110_015_025_05;8045646;0.01;639;0;0.02;655;528;0;94.25;0;0.69;0;;0.01;0;0;0.78;0;1.43;0
prob2_050_090_110_015_025_06;9035608;0.11;4187;0;0.17;4513;884;0;104.67;0;0.96;0;;0.11;0;0;1.09;0;1.97;0
prob2_050_090_110_015_025_07;9166972;0.17;6333;0;0.31;6783;889;0;106.71;0;0.84;0;;0.17;0;0;0.94;0;1.73;0
prob2_050_090_110_015_025_08;10582239;0.01;541;0;0.04;567;654;0;115.87;0;0.68;0;;0.01;0;0;0.74;0;1.43;0
prob2_050_090_110_015_025_09;7069229;0.07;3111;0;0.08;3419;644;0;76.94;0;0.92;0;;0.08;0;0;0.99;0;1.91;0
prob2_050_090_110_015_025_10;6599716;0.01;657;0;0.02;725;543;0;78.79;0;0.69;0;;0.01;0;0;0.73;0;1.43;0
prob2_050_090_110_025_035_01;6197305;4.02;146783;0;4.59;154709;1004;0;90.97;0;0.90;0;;4.16;0;0;0.95;0;1.87;0
prob2_050_090_110_025_035_02;5955928;0.00;257;0;0.01;265;429;0;82.47;0;0.59;0;;0.01;0;0;0.69;0;1.20;0
prob2_050_090_110_025_035_03;7253904;0.09;3861;0;0.11;4231;746;0;96.27;0;0.83;0;;0.10;0;0;0.91;0;1.76;0
prob2_050_090_110_025_035_04;6711203;0.04;1565;0;0.05;1219;611;0;91.44;0;0.67;0;;0.04;0;0;0.67;0;1.38;0
prob2_050_090_110_025_035_05;7126025;0.02;759;0;0.03;669;486;0;99.97;0;0.71;0;;0.02;0;0;0.75;0;1.51;0
prob2_050_090_110_025_035_06;6446450;0.12;4207;0;0.11;4479;734;0;92.13;0;0.77;0;;0.11;1;0;0.80;0;1.61;0
prob2_050_090_110_025_035_07;8000206;0.02;621;0;0.03;479;509;0;110.88;0;0.63;0;;0.02;0;0;0.67;0;1.32;0
prob2_050_090_110_025_035_08;7474913;0.20;7187;0;0.27;7447;825;0;102.97;0;0.87;0;;0.21;0;0;0.96;0;1.81;0
prob2_050_090_110_025_035_09;6322561;0.01;261;0;0.01;271;432;0;88.14;0;0.57;0;;0.01;0;0;0.63;0;1.18;0
prob2_050_090_110_025_035_10;7474370;0.14;5225;0;0.16;5593;840;0;102.79;0;0.76;0;;0.14;0;0;0.88;0;1.56;0
;;Model M1;;;Model M3;;;;DP;;DSS-1TH;;;FMT;;;DSS-4TH;;DSS+DP;
Instance;opt;time;#nodes;TL;time;#nodes;#cols;TL;time;TL;time;TL;;time;best;TL;time;TL;time;TL
prob2_050_090_110_035_045_01;5446753;0.01;493;0;0.01;539;479;0;93.05;0;0.70;0;;0.01;0;0;0.72;0;1.46;0
prob2_050_090_110_035_045_02;5673672;9.87;343025;0;8.82;361643;1003;0;101.89;0;1.12;0;;9.23;1;0;1.13;0;2.32;0
prob2_050_090_110_035_045_03;4661808;0.13;5059;0;0.13;5049;624;0;78.02;0;0.89;0;;0.13;0;0;0.91;0;1.84;0
prob2_050_090_110_035_045_04;4405311;0.03;1217;0;0.04;1315;587;0;81.75;0;0.65;0;;0.03;0;0;0.77;0;1.38;0
prob2_050_090_110_035_045_05;5757187;0.00;101;0;0.00;101;304;0;97.45;0;0.44;0;;0.00;0;0;0.51;0;0.93;0
prob2_050_090_110_035_045_06;5657308;0.02;905;0;0.03;763;409;0;104.70;0;0.79;0;;0.02;0;0;0.78;0;1.67;0
prob2_050_090_110_035_045_07;4515421;0.05;2223;0;0.06;2447;685;0;84.08;0;0.89;0;;0.05;0;0;1.03;0;1.84;0
prob2_050_090_110_035_045_08;4532717;13.27;484675;0;11.12;502899;1100;0;82.80;0;1.16;0;;11.71;1;0;1.32;0;2.42;0
prob2_050_090_110_035_045_09;5391675;0.00;247;0;0.01;251;442;0;102.74;0;0.59;0;;0.01;0;0;0.69;0;1.24;0
prob2_050_090_110_035_045_10;4512175;1.81;67839;0;1.81;75221;955;0;86.74;0;1.01;0;;1.87;0;0;1.13;0;2.10;0
prob2_100_040_060_005_015_01;9002581;0.00;201;0;0.01;201;458;0;78.60;0;0.41;0;;0.00;0;0;0.47;0;0.86;0
prob2_100_040_060_005_015_02;7606458;0.01;443;0;0.01;201;392;0;73.62;0;0.37;0;;0.01;0;0;0.42;0;0.75;0
prob2_100_040_060_005_015_03;8323726;0.01;523;0;0.01;217;432;0;76.94;0;0.44;0;;0.01;0;0;0.51;0;0.92;0
prob2_100_040_060_005_015_04;8935165;0.00;201;0;0.01;201;408;0;87.49;0;0.37;0;;0.00;0;0;0.46;0;0.79;0
prob2_100_040_060_005_015_05;10568922;0.00;313;0;0.01;315;485;0;96.36;0;0.50;0;;0.00;0;0;0.61;0;1.09;0
prob2_100_040_060_005_015_06;10125878;0.01;593;0;0.02;307;509;0;98.20;0;0.47;0;;0.01;0;0;0.55;0;1.01;0
prob2_100_040_060_005_015_07;8855858;0.01;575;0;0.02;577;475;0;80.77;0;0.43;0;;0.01;0;0;0.51;0;0.91;0
prob2_100_040_060_005_015_08;8183123;0.01;559;0;0.01;201;409;0;80.32;0;0.42;0;;0.01;0;0;0.49;0;0.86;0
prob2_100_040_060_005_015_09;9572458;0.01;517;0;0.02;533;507;0;93.51;0;0.53;0;;0.01;0;0;0.63;0;1.12;0
prob2_100_040_060_005_015_10;12443206;0.01;373;0;0.01;375;494;0;116.84;0;0.57;0;;0.01;0;0;0.71;0;1.21;0
prob2_100_040_060_015_025_01;10225754;0.06;2503;0;0.18;2295;668;0;111.75;0;0.45;0;;0.06;0;0;0.56;0;0.94;0
prob2_100_040_060_015_025_02;7105775;0.01;571;0;0.01;205;467;0;77.39;0;0.55;0;;0.01;0;0;0.63;0;1.11;0
prob2_100_040_060_015_025_03;7639612;0.02;897;0;0.04;901;758;0;94.20;0;0.44;0;;0.02;0;0;0.61;0;0.92;0
prob2_100_040_060_015_025_04;6971511;0.04;2569;0;0.08;2655;727;0;82.21;0;0.71;0;;0.05;0;0;0.84;0;1.46;0
prob2_100_040_060_015_025_05;7796330;0.02;1243;0;0.04;1259;649;0;88.57;0;0.60;0;;0.02;0;0;0.63;0;1.14;0
prob2_100_040_060_015_025_06;7963728;0.15;5925;0;0.34;6055;913;0;97.94;0;0.57;0;;0.15;0;0;0.62;0;1.18;0
prob2_100_040_060_015_025_07;9137088;0.02;891;0;0.04;909;573;0;101.45;0;0.57;0;;0.02;0;0;0.70;0;1.21;0
prob2_100_040_060_015_025_08;7675678;0.01;475;0;0.02;481;515;0;86.10;0;0.43;0;;0.01;0;0;0.52;0;0.91;0
prob2_100_040_060_015_025_09;7913167;0.15;5935;0;0.36;5671;661;0;93.65;0;0.53;0;;0.16;0;0;0.64;0;1.09;0
prob2_100_040_060_015_025_10;7267781;0.03;1487;0;0.06;1539;610;0;81.88;0;0.55;0;;0.03;0;0;0.69;0;1.15;0
prob2_100_040_060_025_035_01;6789535;0.03;1199;0;0.04;781;642;0;98.77;0;0.58;0;;0.03;0;0;0.68;0;1.24;0
prob2_100_040_060_025_035_02;6017995;0.02;1121;0;0.06;1167;646;0;83.89;0;0.67;0;;0.02;0;0;0.74;0;1.42;0
prob2_100_040_060_025_035_03;6926571;0.01;695;0;0.02;701;606;0;100.27;0;0.57;0;;0.01;0;0;0.71;0;1.19;0
prob2_100_040_060_025_035_04;7378893;0.02;805;0;0.03;493;602;0;105.04;0;0.74;0;;0.02;0;0;0.59;0;1.46;0
prob2_100_040_060_025_035_05;6947876;0.01;751;0;0.02;313;506;0;93.70;0;0.53;0;;0.01;0;0;0.58;0;0.99;0
prob2_100_040_060_025_035_06;7725160;0.03;1405;0;0.05;1421;701;0;116.26;0;0.67;0;;0.03;0;0;0.83;0;1.38;0
prob2_100_040_060_025_035_07;7827643;0.01;701;0;0.01;201;474;0;105.43;0;0.38;0;;0.01;0;0;0.46;0;0.79;0
prob2_100_040_060_025_035_08;5688486;0.01;785;0;0.03;807;611;0;76.50;0;0.76;0;;0.01;0;0;0.90;0;1.60;0
prob2_100_040_060_025_035_09;6888870;0.01;705;0;0.04;713;601;0;103.20;0;0.70;0;;0.02;0;0;0.82;0;1.48;0
prob2_100_040_060_025_035_10;7249250;0.05;2163;0;0.09;1943;856;0;99.45;0;0.55;0;;0.05;0;0;0.64;0;1.16;0
prob2_100_040_060_035_045_01;5239694;0.19;8547;0;0.37;9325;816;0;91.33;0;1.01;0;;0.19;0;0;0.96;0;1.97;0
prob2_100_040_060_035_045_02;4892815;0.06;2891;0;0.12;2327;677;0;83.43;0;0.68;0;;0.07;0;0;0.75;0;1.44;0
prob2_100_040_060_035_045_03;6903780;0.11;4263;0;0.23;3925;715;0;112.53;0;0.79;0;;0.11;0;0;0.87;0;1.66;0
prob2_100_040_060_035_045_04;4305444;0.06;3289;0;0.11;2855;665;0;78.19;0;1.65;0;;0.07;0;0;1.09;0;3.48;0
prob2_100_040_060_035_045_05;4793753;0.01;443;0;0.02;447;501;0;83.97;0;0.48;0;;0.01;0;0;0.58;0;0.99;0
prob2_100_040_060_035_045_06;6342967;0.03;1383;0;0.07;1405;687;0;115.49;0;0.70;0;;0.03;0;0;0.85;0;1.47;0
;;Model M1;;;Model M3;;;;DP;;DSS-1TH;;;FMT;;;DSS-4TH;;DSS+DP;
Instance;opt;time;#nodes;TL;time;#nodes;#cols;TL;time;TL;time;TL;;time;best;TL;time;TL;time;TL
prob2_100_040_060_035_045_07;5108960;0.02;1049;0;0.01;343;528;0;88.08;0;0.35;0;;0.02;1;0;0.43;0;0.72;0
prob2_100_040_060_035_045_08;5244278;0.08;3415;0;0.17;3641;711;0;86.97;0;0.66;0;;0.09;0;0;0.81;0;1.39;0
prob2_100_040_060_035_045_09;4718856;0.04;1489;0;0.07;1355;584;0;82.15;0;0.58;0;;0.04;0;0;0.66;0;1.21;0
prob2_100_040_060_035_045_10;6006896;0.40;15071;0;0.70;15557;1020;0;109.87;0;0.84;0;;0.42;0;0;0.81;0;1.74;0
prob2_100_090_110_005_015_01;21786202;0.01;201;0;0.01;201;542;0;426.71;0;1.22;0;;0.01;0;0;1.27;0;2.61;0
prob2_100_090_110_005_015_02;19021696;0.17;3717;0;0.50;3687;829;0;343.82;0;1.31;0;;0.17;0;0;1.41;0;2.76;0
prob2_100_090_110_005_015_03;19183516;0.01;325;0;0.02;325;574;0;333.72;0;1.10;0;;0.01;0;0;1.14;0;2.31;0
prob2_100_090_110_005_015_04;17642587;0.03;993;0;0.05;641;640;0;327.59;0;1.57;0;;0.04;0;0;1.83;0;3.37;0
prob2_100_090_110_005_015_05;25126497;0.01;349;0;0.02;201;596;0;431.72;0;1.15;0;;0.01;0;0;1.09;0;2.44;0
prob2_100_090_110_005_015_06;22416964;0.23;4417;0;0.65;4491;940;0;438.28;0;1.62;0;;0.24;0;0;1.72;0;3.29;0
prob2_100_090_110_005_015_07;19307546;0.06;1295;0;0.13;1399;644;0;369.47;0;1.79;0;;0.06;0;0;2.08;0;3.74;0
prob2_100_090_110_005_015_08;16639295;0.01;201;0;0.01;201;498;0;318.22;0;0.92;0;;0.01;0;0;0.97;0;1.97;0
prob2_100_090_110_005_015_09;19179158;1.51;27825;0;3.87;29395;958;0;377.08;0;2.10;0;;1.58;0;0;1.93;0;4.42;0
prob2_100_090_110_005_015_10;26505908;0.01;203;0;0.01;203;584;0;448.55;0;1.31;0;;0.01;0;0;1.31;0;2.81;0
prob2_100_090_110_015_025_01;19042433;0.01;203;0;0.01;203;572;0;424.59;0;0.99;0;;0.01;0;0;0.86;0;2.11;0
prob2_100_090_110_015_025_02;19332675;1.22;21735;0;2.91;22677;1231;0;431.79;0;1.77;0;;1.27;0;0;1.85;0;3.80;0
prob2_100_090_110_015_025_03;16957540;0.88;15513;0;1.92;15973;984;0;362.54;0;1.42;0;;0.92;0;0;1.49;0;3.01;0
prob2_100_090_110_015_025_04;18061115;5.30;91857;0;10.52;96195;1144;0;384.75;0;1.89;0;;5.53;0;0;1.79;0;4.04;0
prob2_100_090_110_015_025_05;19090896;1.57;27611;0;3.36;27939;1014;0;410.96;0;1.40;0;;1.64;0;0;1.28;0;3.00;0
prob2_100_090_110_015_025_06;15012791;0.04;1139;0;0.05;1163;756;0;327.13;0;1.24;0;;0.04;0;0;1.32;0;2.59;0
prob2_100_090_110_015_025_07;17755727;0.07;1343;0;0.13;1201;698;0;376.80;0;1.27;0;;0.07;0;0;1.30;0;2.72;0
prob2_100_090_110_015_025_08;15113753;0.09;1841;0;0.14;1301;797;0;336.20;0;1.27;0;;0.09;0;0;1.30;0;2.72;0
prob2_100_090_110_015_025_09;18878187;2.04;35439;0;4.67;36811;1548;0;439.37;0;1.93;0;;2.12;0;0;1.70;0;4.10;0
prob2_100_090_110_015_025_10;18741171;5.84;102763;0;13.41;109011;1386;0;428.54;0;2.25;0;;6.07;0;0;1.77;0;4.75;0
prob2_100_090_110_025_035_01;16441961;0.02;569;0;0.03;583;695;0;426.57;0;1.50;0;;0.02;0;0;1.51;0;3.19;0
prob2_100_090_110_025_035_02;13076912;0.04;941;0;0.06;757;854;0;380.99;0;1.74;0;;0.04;0;0;1.59;0;3.73;0
prob2_100_090_110_025_035_03;11533841;39.42;748167;0;41.84;820123;1185;0;331.89;0;3.86;0;;40.65;0;0;3.10;0;8.17;0
prob2_100_090_110_025_035_04;11595542;3.12;54449;0;2.81;56631;1291;0;343.64;0;1.37;0;;2.93;1;0;1.35;0;2.90;0
prob2_100_090_110_025_035_05;13574049;0.17;3561;0;0.23;3917;1047;0;417.89;0;1.96;0;;0.17;0;0;1.80;0;4.22;0
prob2_100_090_110_025_035_06;11657513;0.56;9835;0;0.94;9585;1264;0;335.81;0;1.40;0;;0.59;0;0;1.40;0;3.01;0
prob2_100_090_110_025_035_07;11556641;0.05;1173;0;0.08;1185;754;0;335.13;0;1.28;0;;0.05;0;0;1.50;0;2.73;0
prob2_100_090_110_025_035_08;12163539;0.17;3905;0;0.23;4101;1061;0;323.75;0;1.65;0;;0.18;0;0;1.80;0;3.47;0
prob2_100_090_110_025_035_09;14857980;0.09;1761;0;0.16;1795;890;0;454.71;0;2.25;0;;0.09;0;0;1.58;0;4.83;0
prob2_100_090_110_025_035_10;11813607;0.28;5309;0;0.45;4607;981;0;357.67;0;1.04;0;;0.30;0;0;1.05;0;2.23;0
prob2_100_090_110_035_045_01;11609596;0.01;201;0;0.01;201;527;0;429.83;0;1.08;0;;0.01;0;0;1.07;0;2.30;0
prob2_100_090_110_035_045_02;8984540;7.41;133561;0;8.17;139559;1456;0;334.86;0;2.14;0;;7.68;0;0;2.10;0;4.53;0
prob2_100_090_110_035_045_03;8178729;1.19;22283;0;1.49;23005;1459;0;323.82;0;3.34;0;;1.24;0;0;2.49;0;7.08;0
prob2_100_090_110_035_045_04;9544555;22.99;383569;0;22.75;395355;1735;0;320.00;0;1.93;0;;23.77;0;0;1.69;0;4.10;0
prob2_100_090_110_035_045_05;12893140;2.33;37155;0;2.71;37905;1358;0;481.33;0;1.32;0;;2.43;0;0;1.11;0;2.85;0
prob2_100_090_110_035_045_06;8977521;4.42;75013;0;5.69;75531;1334;0;345.88;0;1.23;0;;4.60;0;0;1.26;0;2.63;0
prob2_100_090_110_035_045_07;9955370;0.33;6083;0;0.52;5807;1059;0;366.86;0;1.48;0;;0.35;0;0;1.53;0;3.17;0
prob2_100_090_110_035_045_08;11183535;8.09;139015;0;12.05;142691;1411;0;377.46;0;2.08;0;;8.43;0;0;1.93;0;4.43;0
prob2_100_090_110_035_045_09;12578011;0.04;899;0;0.06;901;899;0;406.78;0;1.52;0;;0.04;0;0;1.22;0;3.23;0
prob2_100_090_110_035_045_10;9804896;0.03;853;0;0.03;861;670;0;332.65;0;1.39;0;;0.03;0;0;1.17;0;2.95;0
prob3_050_040_060_005_015_01;53334;0.01;753;0;0.01;785;236;0;0.24;0;0.44;0;;0.01;0;0;0.45;0;0.52;0
prob3_050_040_060_005_015_02;66478;0.28;20443;0;0.24;21451;233;0;0.28;0;1.04;0;;0.24;1;0;0.82;0;0.59;0
;;Model M1;;;Model M3;;;;DP;;DSS-1TH;;;FMT;;;DSS-4TH;;DSS+DP;
Instance;opt;time;#nodes;TL;time;#nodes;#cols;TL;time;TL;time;TL;;time;best;TL;time;TL;time;TL
prob3_050_040_060_005_015_03;81773;0.06;4133;0;0.07;4649;211;0;0.30;0;0.47;0;;0.06;0;0;0.47;0;0.64;0
prob3_050_040_060_005_015_04;53373;0.10;6481;0;0.08;6869;195;0;0.24;0;0.51;0;;0.08;1;0;0.54;0;0.52;0
prob3_050_040_060_005_015_05;50498;0.08;5249;0;0.07;5439;221;0;0.22;0;1.10;0;;0.07;1;0;0.79;0;0.47;0
prob3_050_040_060_005_015_06;71183;0.08;5119;0;0.07;5469;173;0;0.30;0;1.41;0;;0.06;1;0;0.94;0;0.63;0
prob3_050_040_060_005_015_07;70106;0.05;3029;0;0.04;3239;194;0;0.27;0;0.44;0;;0.05;1;0;0.41;0;0.58;0
prob3_050_040_060_005_015_08;49607;0.49;37177;0;0.38;39487;244;0;0.21;0;3.43;0;;0.20;2;0;1.49;0;0.46;0
prob3_050_040_060_005_015_09;75933;0.03;1729;0;0.03;1803;217;0;0.32;0;0.93;0;;0.03;0;0;0.72;0;0.68;0
prob3_050_040_060_005_015_10;68110;0.53;39487;0;0.46;43109;232;0;0.29;0;4.71;0;;0.30;2;0;2.76;0;0.63;0
prob3_050_040_060_015_025_01;43232;0.12;7729;0;0.10;8173;246;0;0.23;0;0.52;0;;0.09;1;0;0.47;0;0.50;0
prob3_050_040_060_015_025_02;54045;0.39;28520;0;0.31;30108;235;0;0.28;0;0.72;0;;0.28;2;0;0.57;0;0.60;0
prob3_050_040_060_015_025_03;66922;0.02;1299;0;0.03;1359;223;0;0.30;0;0.40;0;;0.02;0;0;0.37;0;0.65;0
prob3_050_040_060_015_025_04;43252;0.03;1784;0;0.02;1850;200;0;0.24;0;0.51;0;;0.02;1;0;0.48;0;0.52;0
prob3_050_040_060_015_025_05;41222;0.34;26575;0;0.26;28527;243;0;0.21;0;1.01;0;;0.21;2;0;0.92;0;0.46;0
prob3_050_040_060_015_025_06;57570;0.06;3845;0;0.05;4145;182;0;0.30;0;0.88;0;;0.05;1;0;0.65;0;0.63;0
prob3_050_040_060_015_025_07;57100;0.54;40419;0;0.43;43041;205;0;0.27;0;4.05;0;;0.27;2;0;1.96;0;0.60;0
prob3_050_040_060_015_025_08;40196;0.22;17179;0;0.20;18809;236;0;0.21;0;1.94;0;;0.20;1;0;1.30;0;0.46;0
prob3_050_040_060_015_025_09;62348;0.76;51973;0;0.53;53463;230;0;0.31;0;0.48;0;;0.32;2;0;0.39;0;0.68;0
prob3_050_040_060_015_025_10;55225;0.34;23850;0;0.28;25206;256;0;0.30;0;0.87;0;;0.29;1;0;0.78;0;0.62;0
prob3_050_040_060_025_035_01;34658;0.22;16075;0;0.17;16919;251;0;0.23;0;1.85;0;;0.17;1;0;0.98;0;0.50;0
prob3_050_040_060_025_035_02;43520;0.07;4299;0;0.05;4663;180;0;0.27;0;0.67;0;;0.05;1;0;0.47;0;0.59;0
prob3_050_040_060_025_035_03;54380;0.11;6981;0;0.10;7297;242;0;0.30;0;0.98;0;;0.10;1;0;0.67;0;0.64;0
prob3_050_040_060_025_035_04;34669;0.11;6799;0;0.08;7399;255;0;0.24;0;0.70;0;;0.08;1;0;0.51;0;0.44;0
prob3_050_040_060_025_035_05;33331;0.67;52991;0;0.48;54783;269;0;0.22;0;0.78;0;;0.21;2;0;0.72;0;0.47;0
prob3_050_040_060_025_035_06;46049;0.30;21706;0;0.25;23076;238;0;0.30;0;2.26;0;;0.26;1;0;1.30;0;0.64;0
prob3_050_040_060_025_035_07;46156;0.06;4021;0;0.05;4317;186;0;0.27;0;0.59;0;;0.05;1;0;0.53;0;0.58;0
prob3_050_040_060_025_035_08;32230;0.19;13885;0;0.15;14471;266;0;0.21;0;0.59;0;;0.15;1;0;0.47;0;0.46;0
prob3_050_040_060_025_035_09;50766;0.64;46016;0;0.46;50204;212;0;0.32;0;1.08;0;;0.32;2;0;0.78;0;0.67;0
prob3_050_040_060_025_035_10;44286;0.93;68031;0;0.75;73087;266;0;0.29;0;0.80;0;;0.29;2;0;0.58;0;0.63;0
prob3_050_040_060_035_045_01;27297;0.04;2543;0;0.04;2733;265;0;0.23;0;0.39;0;;0.04;1;0;0.45;0;0.52;0
prob3_050_040_060_035_045_02;34480;1.11;83313;0;0.87;88199;292;0;0.28;0;0.99;0;;0.28;2;0;0.71;0;0.59;0
prob3_050_040_060_035_045_03;43655;0.51;38805;0;0.43;41637;247;0;0.30;0;1.47;0;;0.30;2;0;0.99;0;0.64;0
prob3_050_040_060_035_045_04;27316;0.17;11201;0;0.12;11753;275;0;0.24;0;0.50;0;;0.12;1;0;0.54;0;0.52;0
prob3_050_040_060_035_045_05;26532;0.11;7563;0;0.08;7745;263;0;0.22;0;0.46;0;;0.09;1;0;0.40;0;0.48;0
prob3_050_040_060_035_045_06;36187;0.41;29975;0;0.29;31263;227;0;0.30;0;0.52;0;;0.30;2;0;0.49;0;0.63;0
prob3_050_040_060_035_045_07;36799;0.31;22057;0;0.23;22745;247;0;0.27;0;0.51;0;;0.24;1;0;0.39;0;0.58;0
prob3_050_040_060_035_045_08;25399;0.01;491;0;0.01;491;255;0;0.21;0;0.21;0;;0.01;0;0;0.22;0;0.43;0
prob3_050_040_060_035_045_09;40806;0.32;21739;0;0.24;22065;282;0;0.31;0;0.49;0;;0.25;1;0;0.38;0;0.66;0
prob3_050_040_060_035_045_10;34895;0.03;1977;0;0.03;2017;208;0;0.29;0;0.42;0;;0.03;1;0;0.37;0;0.62;0
prob3_050_090_110_005_015_01;149542;124.56;4969797;0;67.68;5117025;314;0;1.15;0;1.29;0;;1.19;2;0;1.21;0;2.41;0
prob3_050_090_110_005_015_02;159325;17.04;657369;0;9.79;720615;259;0;1.20;0;1.95;0;;1.23;2;0;1.81;0;2.48;0
prob3_050_090_110_005_015_03;119307;210.19;7601911;0;102.45;8476021;273;0;0.93;0;1.01;0;;0.96;2;0;0.92;0;1.93;0
prob3_050_090_110_005_015_04;160436;0.36;13467;0;0.22;13813;270;0;1.25;0;1.03;0;;0.23;1;0;0.88;0;2.07;0
prob3_050_090_110_005_015_05;142054;0.01;464;0;0.01;466;213;0;1.12;0;0.52;0;;0.01;0;0;0.61;0;1.06;0
prob3_050_090_110_005_015_06;146470;1.02;36493;0;0.61;38195;268;0;1.22;0;1.71;0;;0.64;1;0;1.10;0;2.52;0
prob3_050_090_110_005_015_07;160632;3.56;135197;0;2.13;149705;262;0;1.22;0;0.86;0;;1.26;2;0;0.79;0;1.73;0
prob3_050_090_110_005_015_08;158249;1.97;74189;0;1.12;77851;257;0;1.14;0;1.35;0;;1.16;1;0;1.01;0;2.37;0
;;Model M1;;;Model M3;;;;DP;;DSS-1TH;;;FMT;;;DSS-4TH;;DSS+DP;
Instance;opt;time;#nodes;TL;time;#nodes;#cols;TL;time;TL;time;TL;;time;best;TL;time;TL;time;TL
prob3_050_090_110_005_015_09;159034;27.68;1072857;0;15.55;1139651;293;0;1.23;0;2.50;0;;1.26;2;0;1.75;0;2.52;0
prob3_050_090_110_005_015_10;159881;10.92;410097;0;6.59;451799;279;0;1.16;0;1.61;0;;1.20;2;0;0.95;0;2.41;0
prob3_050_090_110_015_025_01;86269;0.13;5045;0;0.07;5137;287;0;0.84;0;0.49;0;;0.08;1;0;0.56;0;0.95;0
prob3_050_090_110_015_025_02;98542;0.10;4103;0;0.06;4247;279;0;0.94;0;0.99;0;;0.06;1;0;1.01;0;1.94;0
prob3_050_090_110_015_025_03;98874;0.23;8675;0;0.13;8901;299;0;1.01;0;6.76;0;;0.14;1;0;3.29;0;2.08;0
prob3_050_090_110_015_025_04;106776;34.47;1295605;0;18.03;1368449;309;0;1.09;0;1.22;0;;1.12;2;0;0.98;0;2.26;0
